"TRJBZFI128F145A8AE","Femme Fatale","The Velvet Underground","rock;alternative;female vocalists;pop;indie"
"TROSGWC128F4285186","(Now and Then There's) a Fool Such As I","Elvis Presley","rock;pop"
"TRNRXRS128F4284DBE","Rock And Roll","The Velvet Underground","rock;alternative;pop;indie"
"TRNSKJG128F145A8AA","Lisa Says","The Velvet Underground","rock;alternative;indie"
"TRFNUDH128F9311E81","The Ballad Of Frankie Lee And Judas Priest","Bob Dylan","rock"
"TRZRTPM128F4284DB9","I Heard Her Call My Name","The Velvet Underground","rock;alternative"
"TRTPMXI128EF34A537","The Unforgettable Fire","U2","rock;alternative;pop"
"TRKEXMS128F4238518","I'm Waiting For The Man","The Velvet Underground","rock;alternative;indie;pop"
"TRUJGLZ128F1463973","I'm Waiting For The Man","The Velvet Underground","rock;alternative;indie;pop"
"TRCCCMQ128F42AE752","It's So Good","Joe Satriani","rock"
"TRCCIKH128F932FE80","Thinkin' About You","Britney Spears","pop;female vocalists"
"TRCCNQH128F9310DD8","Killer Cars","Radiohead","alternative;rock;indie;electronic"
"TRCCFYP128F42670B2","Stolen Car","Bruce Springsteen","rock"
"TRCJADX128F428D3E0","Let Me Be","Britney Spears","pop;female vocalists;electronic;rock"
"TRCJFRD128F92F5B84","The Girl Is Mine","Michael Jackson","pop;rock"
"TRCJFZB128F42634A6","Just Push Play","Aerosmith","rock;metal;pop"
"TRCJZXG128F427E24E","Until The End Of The World","U2","rock;alternative;pop"
"TRCJZZU12903CDC649","In The Ghetto","Elvis Presley","rock;pop"
"TRCJGQQ128F9321558","With A Child's Heart","Michael Jackson","pop"
"TRCICVA128F92FE2E4","California Callin'","Enrique Iglesias","pop;alternative"
"TRCICMU12903CC0E35","Super Colossal","Joe Satriani","rock"
"TRCIBMS128F42AE75C","Made Of Tears","Joe Satriani","rock;metal"
"TRCINLM128F426A98F","When The Night Comes Falling From The Sky","Bob Dylan","pop;rock"
"TRCHEBB128F4263EC3","Birdland","Patti Smith","female vocalists;rock;alternative;indie"
"TRCHPCS12903CC15D1","Astro Man","Jimi Hendrix","rock"
"TRCXJOO128F92C47A3","That's Where You Take Me","Britney Spears","pop;female vocalists;rock;alternative"
"TRCXIMN128F932DA46","Always Suffering","The Rolling Stones","rock"
"TRCXXLL12903D018B8","Everytime","Britney Spears","pop;female vocalists;rock;electronic"
"TRCXAZA128F428CCF6","Boy Cried Wolf","Patti Smith","rock;female vocalists;alternative"
"TRCXQPH128F93432F5","Spirit In The Night","Bruce Springsteen","rock;alternative;electronic;pop;indie"
"TRCOXMM128F426992D","Round and Round","Aerosmith","rock;metal"
"TRCOOYM128F92E4FD7","Can You Hear Me","Enrique Iglesias","pop"
"TRCOBNP128F42BA577","You Got Me Rocking","The Rolling Stones","rock;metal"
"TRCOBWF128F427FD9F","Changing Of The Guards","Bob Dylan","rock;alternative"
"TRCONIY128F932A7DA","The Big Payback","Bruce Springsteen","rock;indie;pop;electronic;alternative"
"TRCOPDI128F145A8B3","Ocean","The Velvet Underground","rock;indie"
"TRCOWHF128F932163D","I'm Sticking With You","The Velvet Underground","alternative;rock;indie;female vocalists;pop"
"TRCOZOT128F4260936","Asik Veysel","Joe Satriani","rock;metal"
"TRCOQCO128F9321636","What Goes On","The Velvet Underground","rock;alternative;indie"
"TRCOQAD128F42AA77D","The Last Song","Foo Fighters","rock;alternative;metal"
"TRCOUUY128F42B5716","Heroin","The Velvet Underground","rock;alternative;indie"
"TRCMOJL128E078F4FB","Midnight","Jimi Hendrix","rock"
"TRCMMAR128F932E728","The Gloaming","Radiohead","alternative;electronic;rock;indie"
"TRCMNXR128E0785EC4","Subtle Invitation","Mariah Carey","pop;female vocalists"
"TRCMLEW12903CBBCF8","Wild Thing","Jimi Hendrix","rock;pop"
"TRCMQSU128F931F111","Who Is It","Michael Jackson","pop;rock"
"TRCMUDK128E078DF62","The Fragile","Nine Inch Nails","rock;alternative;electronic;metal;indie"
"TRCRCYP128E0793AFE","Once Upon A Daydream","The Police","rock"
"TRCRJHK128F423DBC9","Jigsaw Falling into Place","Radiohead","alternative;rock;indie;electronic;pop"
"TRCRHFK128F427FD8F","Something There Is About You","Bob Dylan","rock"
"TRCRNUI128F9342A44","My Girl","Michael Jackson","pop"
"TRCRSNF128E0794355","Don't Stop","Aerosmith","rock"
"TRCRPQB128E078DF6A","Into The Void","Nine Inch Nails","rock;electronic;alternative;metal"
"TRCRTQO128F426AE24","Dry Lightning","Bruce Springsteen","rock"
"TRCRQWP128F9311BA0","Can You Hear Me","Enrique Iglesias","pop"
"TRCYRDN128F932FD47","Dance (pt 1)","The Rolling Stones","rock;pop"
"TRCYAYD128F92F3758","Why You Wanna Trip On Me","Michael Jackson","pop;rock"
"TRCYLVV128F93280C0","Thundercrack","Bruce Springsteen","rock"
"TRCYPXX128F42929EF","She's a Rainbow","The Rolling Stones","rock;pop"
"TRCYTRA128F4296269","Heart","Britney Spears","pop;female vocalists"
"TRCYVIR128F425795A","Fire","U2","rock;alternative"
"TRCAHLU128F931676B","Got To Be There","Michael Jackson","pop;rock"
"TRCAEKN128F92E1D46","M.I.A.","Foo Fighters","rock;alternative"
"TRCALEF12903D021D3","Mr. Bad Luck","Jimi Hendrix","rock"
"TRCATSE128F9324EEB","Ruby Tuesday","The Rolling Stones","rock;pop"
